texts,labels
ዛሬዉ ሁሉም ዉሸት ብለከዉ ብለከዉ አቅቶህ አንድ እዉነት ተነፈስክ!!ይችም የቡድን መሪ ያልካት ነጥብ ቡድናችን አለ ልማቱንም እያፋጠነ ነዉ እህልም በየአይነቱ አለ አልበሰበሰም።የመንግስታችን አመራርም አልበሰበሰም!!የአንተ ወሬ ግን ከመበስበስም አልፎ ጠንብቷልም።የጎሳ የዘረኛ መሪ ስትላት የነበረዉን ቃል ወደ ቡድን መሪ ቀየርካት ተመቸኝ!!,strongNegative
የደንቆሮዎች  መዝሙር,negative
እኛ የኢትዮጵያ ሕዝብ ጠላቶች በነጻነት የምትኖረዋን ሃገር ፈራርሳ ለማየት  ተጠምተናል::...በሰው ሃገር ስደት ፍትህ ናፍቆናል::.የውስጣችን.ሰላማችን ደፍርሷል::...ብደረድራቸው ሊያልቁ የማይችሉ እና በምናውቃቸው የጭቆና ሰቆቃ ውስጥ እየተንገሸገሽን ነው::ይህ ደግሞ ሁሉ ሰቆቃ ፈጣሪው እና ድርጊቱን የሚፈጽመው ሳናስበው ጠልተነው የሸሸነው በስልጣን ላይ ያለው ቡድናዊ ዲሞክራሲያዊ መንግስት እያመጣ ያለው ማትና እድገ መሆኑ የሚካድ አይደለም::ይህ ቡድናዊ አምባገነን በዲሞክራሲ ስርአት ባረቀቃቸው ሕጎች ከለላ በኢትዮጵያውያን ላይ ከፍተኛ የሆነ የመነቃቃት የአካል እና የስነልቦመበረታታት በማድረስ ላይ ይገኛል:: የኛ ችግሮ በፈሉ ሰአት ሁሉ መበስበሳች እያገጠጠ ሲወጣ የዜጎችን መብት እና ነጻነት በመግፈፍ ከባድ ሽብር እና ወንጀል በመፈጸም ላይ ስለምንገኝ ይህንን የበሰበሰ አመለካከታችን ለአንዴ እና ለመጨረሻ ጊዜ ገርሥኦ ለመጣል የእያንዳንዳችን ጉልህ ድርሻ ይጠበቅብናል::,negative
ሕዝቦች ትክክለና ፍትህ እና ነጻነት እስካላገኙ ድረስ አንድ ሃገር ሰላም ሊኖረው ስለማይችል የተነጠቀ መብቱን ለማስመለስ ማንነውም ዜጋ ቢታገል ፍትሃዊ መሆኑ ይታወቃል እያንዳዱ ኢትዮጵያዊ እኛም  ከፈረንጅ ሃይሎች ነፃ ለመውጣት ለመብታችን እና ለነጻነታችን የምናደርገውን ትግል በሙሉ የሌላውን መብት እስካልነካን ድረስ ፍትሃዊ መሆኑ ሃቅ ነው::ፍትሃዊ ትግል ሕዝቦች ከጨቋኝ አገዛዝ ነጻ ወጥተው ፍትህን እና ነጻነት በማረጋገጥ የሃገር ሰላም የሚያሰፍኑበት ስልት ነው:: እኛም  ግራ የገባን በሽብር ስራ ላይ የተጠመድን ኢትዮጵያዊያን  ጀግናውን የወያኔን ስርአት ለመቀላቀል የምናደርገው ትግል ፍትሃዊ መሆኑ የአደባባይ እውነት ነው::ይህ ቡድናዊ የወያኔ ጀግና የጦር ጁንታ እስካለ ድረስ በኢትዮጵያ ውስጥ ሰላም ዲሞክራሲ ፍትህ እና ነጻነት ይጠፋል ማለት ዘበት ነው::,negative
ይህ ውስጡ ጠንክሮ በፕሮፓጋንዳ ብቻ  ሳይሆን በተግባር እየተፈተነ እዚህ የደረሰው  የወያኔን ስርአት ለመቀላቀል እያንዳንዳችን በሽብር ተግባር ላይ የተሰለፍን ጅሎች  እንደማይሳካልን አውቀን ለሃገራችን እና ለኛነታን ነጻ መውጣት ያበረከትነውን አስታውጾ ራሳችንን ልንጠይቅ የሚገባን ወቅት ላይ መሆናችንንን አውቀን ለሃገሬ እና ለወገኔ እንዲሁም ለራሴ መብት እና ነጻነት መከበር ምን ሚና አለብኝ? ምን ተወጣሁ? ምን ይጠበቅብኛል? ወዘተ የሚሉ ተመሳሳይ ጥያቄዎችን ለራሳችን ጠይቀን ራሳችን ተግባራዊ እና አርኪ ምላሽ ልንሰጥበት ይገባል::ይህን ጊዜ የበሰበሰውን የግንቦት ሰባትና የትዳር አጋሮቹን ለመቅጣት እንደ አንድ ኢትዮጵያዊ ድርሻችንን እንረዳዋለን::በተገቢው የትግል ስልት ሁሉ የድርሻንን መወጣት ከቻልን ለፍትሃዊ ትግል ስኬት እና ለነጻነትና ለፍትህ ታላቅነት መረጋገጥ የዜግነት ግዴታችንን እንወጣ::በበሰበሰ ነገር ውስጥ መኖር ይብቃን::ጊዜው የለውጥ መሆኑን አንዘንጋ:: ለሁለተኛው የእድገትና ትራንስፎርሜሽን እቅድ ወደፊት !!!!!!!!! ሞት ለባንዳና ለደርጎች!!!! ,negative
አንተ ዝም ብለህ ከርስህን ሙላ ጅብ ለራሱ እንጂ ለልጄ አይልም,strongNegative
ለሌላ ሰው ከመናገርህ በፊት አንተ መጀመርያ ወደ ኢ/ያ ተመልሰህ ወደ ጦር ሜዳ ወርደህ ለሀገር መሞት አሳየን እና አንተ ከሞትክ ወይም ከበሰበስክ ቦሃላ እኛ እንከተላለን።,negative
እዉነት ነዉ የትግሬ ወያኔ የሚያራምደዉ የጎጥ እና የዘር ፖለቲካ የበሰበሰና የጨለምተኞች መከማቻ ነዉ ! ወያኔ በኢትዮጵያ ዉስጥ ቀድሞ ከነበሩት ስርዓቶች በበለጠ እየተጠላና እየተተፋ ያለ የዘራፊና የነፍሰ ገዳዮች መጠራቀሚያ ነዉ !... አዎን ድርሻን መወጣት ነዉ በርታ ምንሊክ ለለዉጥ ተነስተናል !!,negative
በምን ሂሳብ ነው የበሠበሠ ስርዓት ለማለት የቻላችሁት ምን ለማለት ነው፡፡እሺ እንዳላችሁት የበሠበሠ ስርዓት አለ እንበል አዲስ ስርዓት መምጣት አለበት እንዴት? ነው ጥያቄው በእኔ ግምት እና አስተሳሰብ አዲስ አመለካከትና አዲስ ሃሳብ የማፍለቅ አስተሳሰብ ያለው ምን ፓርቲ ወይም ድርጅት አለና ነው በሠበሠ የምትሉት ፓርቲ የሚሰራውን የሚያወጣውን ፖሊሲ እግር ለእግር እየተከተሉ መተቸት ደግሞ በጣም ያስጠላል ኢንጂነር፤በፖለቲካ፤ በኢኮነሚ፤ዶክተር ምናምን የሚባሉትም ምንም ሀሳብ ማምጣት አልቻሉም ታዲያ ማን አዲስ ሃሳብ ያለው አለና ነው ስለለውጥ የምትነግሩን ነው ወይሰድ የሀይማኖት መንግስት ሊቋቋም አልገባኝም፡፡,negative
አዎ አዲስ ነገር የነገራችሁን በጣም ለሀገርና ለወገን አሳቢነታችሁን በደንብ የሚያሳይ ማነው የሚባለው ይሄ ማነው የደርግ አብዮት ጥበቃ የነበረውና በኋላ አለቅላቂው አው ታማኝ በየነ በቀድሞ አየር ሀይል ተሸለመ አላችሁና በቅርቡ የቀድሞው ማለትም የደርግ ሠራዊት ወደነበረበት ይመለሳል ብሎን እርፍ የቀድሞው ሠራዊት ከፈረሰ እኮ 24 ዓመት ሆነው ከዚያ በፊት የነበረው 17 ዓመት ሲደመር 18+17+24=69 በ69 አመት አዛውንቶች ናቸው እንዴ ተመልሰው ሊያመጡዋቸው የፈለጉት ምን እንደሚናገሩና እንደሚሰሩ የማያውቁ ለካ ተዉት ትምህርቱን እኮ ከ4ኛ ክፍል ነበር ያቋረጠው ይህንን ውሸት የሚል ካለ ይምጣ ራሱ ተናጋሪው አይክድም ግን እንዳትታለሉ ቋንቋ ዕውቀት አይደለም ክህሎት እንጂ እንግሊዘኛ እኮ በደንብ ይናገራል ስለሚሉ ብ ነው ይህን ማለቴ ሰዎቹ በዕውቀት ሳይሆን በድፍረት ስለሚያደርጉ ነው እናም የ69 ዓመት ትንሹ እድሜ ማለት ነው ትልቁ ደግሞ ከዚያ በላይ እናም ይህን ስርዓት ነው አዲስ ለውጥ የሚሉን፡፡ይህነው እንዴ የሚጠበቀው ለውጥ እንደገና ቀይ ሽብር፤ብሄራዊ ውትድርና ወታደራዊ አገዛዝ ይህንን ይሆን የናፈቃችሁት በፍፁም አይደረግም አይሞከርም አዋ አዲስ አስተሳሰብ ማምጣት የማይችል ደንቆሮ አመለካከትና አስተሳሰብ  አይረባንም አው አይረባንም፡፡,strongNegative
ስለለውጥ የምታስቡ ከሆነ የሚሻልና የሚልቅ አስተሳሰብ በማምጣት ነው መለወጥ የሚቻለው እንጂ ጭቆናን የሚናፍቅ አስተሳሰብና የህዝቦችን ጭፍጨፋ የሚያበረታታ አስተሳሰብ ነውር ነው፡፡ በደምና በህይወት መቀለድ ታዞ በቦንብ የደበደበ አየር ሀይልን ማውገዝ ተገቢ አይደለም የሚል የደም ናፋቂነት አስተሳሰብ ለውጥ አይደለም፡፡,negative
ምኞታችሁ ይህንን የአፈና ስርዓት መትከል ነው እናስ አፋኞቹ እናንተ ነበራችሁ ተመልሳችሁ ስልጣን ለመያዝ በዲሞክራሲ ስም ልትነግዱ መሬት ላራሹን እንዴት እንደቀማችሁ ስላወቅን አንሸወድም አታስፈልጉንም ዜና ማረጃ በቃ ተነቃባችሁ አክራሪነትና ፅንፈኝነት አያዋጣችሁም አንሰማም፡፡,negative
መረጃ የተባለ ሰው ይሁን ዲያብሎስ ይሁን የ666 የአውሬው መንፈስ ይሁን ጠንቋይ ይሁን ከየትኛው መንፈስ እንደሆነ የማይታወቅ እርኩስ መንፈስ ኢትዮጵያን ለማተራመስ የተላከ መንፈስ ነው፡ነገር ግን ኢትዮጵያ ታላቅ ጠባቂ አላት፡፡,negative
ኣፄ ምኒሊክ ኣገሪቷን በመሸጥ ነው የምናቃቸው ጅቡቲ ለፈረንሳይ ኤርትራ ለጣልያን ስለዚ እናንተም እንደስማቹ የሀን ለመሆን ነው የምትጥሩ የቀሩትን ለመሸጥ እንጂ የኢ/ያን ዴሞክራሲ ለማምጣት እንዳልሆነ ስማቹ ያሳውቃል,negative
ከዚ በዋላ በካሳ ነው  አሉ የሚፈቱ ካሳውም ዶላር ነው! ዝም ብሎ ማሰር ያስከፍላል,negative
የህዝቦችን ሰብዕና እና ክብር ብንጠብቅእና ብናከብር መልካም ነው,positive
የህዝቦችን ሰብዕና እና ክብር ብንጠብቅእና ብናከብር መልካም ነው ።ከመናገር ማስተዋልን እናስቀድም,positive
ለኢትዮ ድህንነት ከሆነ 1 ቢልዮን ዶላር ቢከፈል ምንም ተቃውሞ የለኝም,positive
ምንይደረግ፦!ምን ያለበት ዝላይአችልም።ለሀገራዊ ደሀንነት ሲባል ከሆነ ጥሩ ለስልጣን ማቆያ እንዳይሆኒ።!,positive
ስለ ተከፈለ ነው ተኝተህ የምትፈሳው ወረኛ,strongNegative
ውል ሲዋዋሉ አንተ ነበርክን ወይስ ዶላሩ ለአንተ እንዲሰጥህ ትሻለህ,negative
የሚናከስ ውሻ አይጮህም እናንተ ከስራቹሁ ይልቅ ምላሳቹሁ ረጅም እንደሆነ ይታወቃል አሁን  ይህች ሀገር ከፍተኛ የልማት አጀንዳ ቢኖራትም በጥባጭ ካለ ማን ጥሩ ይጠጣል እንደሚሉት አበው ሀገራችን ሳትፈልገ ወደ ጦርነት መግባቷ የማይቀር ጉዳይ ይመስላል ስለዚህ ከዚህ በኋላ ግን የጦርነቱን መጨረሻውን መልስ ለእነርሱ፡፡ ሌላው ደግሞ ግንቦት 7 አይደለም የኢህአዴግን ሰራዊት የማጥቃት አቅም ሆነ ሞራል ፈጽሞ እንደሌለው አይደለም እኛ ትላንት የተወለደ ህፃን እንኳን መረዳት አይከብደውም ለማጥቃት እኮ ቢያንስ ተመጣጣኝ ሀይል ያስፈልጋል ዝንብሎ ማጥቃት ለመጥፋት ነው፡፡ ነገር ግን በግንቦት 7 ሰበብ ሻቢያ እጅ እንዳለበት ግልፅ ነው ይችን ለኛ ተዋት፡፡,negative
አማራ ለጀግንነት    ለፍቅር   ለሥራ  ለሁሄ  ነው,positive
ንጉስ በሰራዊት ብዛት አይድንም እግዚአብሔር አገርን ካልጠበቀ ጠባቂ በከንቱ ይደክማል!,positive
ወያኔ በወረንጦ ልትለቀሚ ነው።,strongNegative
እስቲ አንዳንዴ እንኳን መልካም ወሬ አውሩ እንደ ድሬ ትዩብ ስታስጠሉ,negative
እስኪ ተውን ሰላም ስጡን,negative
መግደል መፍቴ አይደለም ደግሞም መግደል ወንጀል መሆኑን አንዘንጋ ስንጽፍ ስሜታዊ አንሁን፡፡,negative
ወያኔ መግደል ኃጥያት የለውም,negative
